current_date,sale_id,product_id,product_name,product_price
2026-05-21,1,P005,Mobile Phone Case,15
2026-05-21,2,P001,Wireless Headphones,100
2026-05-21,3,P001,Wireless Headphones,100
2026-05-21,4,P006,Wireless Mouse,30
2026-05-21,5,P006,Wireless Mouse,30
2026-05-21,6,P003,Bluetooth Speaker,50
2026-05-21,7,P004,USB Flash Drive,20
2026-05-21,8,P007,Laptop Stand,40
2026-05-21,9,P005,Mobile Phone Case,15
2026-05-21,10,P006,Wireless Mouse,30
2026-05-21,11,P004,USB Flash Drive,20
2026-05-21,12,P006,Wireless Mouse,30
2026-05-21,13,P007,Laptop Stand,40
2026-05-21,14,P004,USB Flash Drive,20
2026-05-21,15,P005,Mobile Phone Case,15
2026-05-21,16,P010,External Hard Drive,100
2026-05-21,17,P010,External Hard Drive,100
2026-05-21,18,P004,USB Flash Drive,20
2026-05-21,19,P009,Smartphone,600
2026-05-21,20,P001,Wireless Headphones,100
2026-05-21,21,P008,HDMI Cable,15
2026-05-21,22,P007,Laptop Stand,40
2026-05-21,23,P007,Laptop Stand,40
2026-05-21,24,P003,Bluetooth Speaker,50
2026-05-21,25,P007,Laptop Stand,40
2026-05-21,26,P003,Bluetooth Speaker,50
2026-05-21,27,P002,Laptop Backpack,60
2026-05-21,28,P001,Wireless Headphones,100
2026-05-21,29,P004,USB Flash Drive,20
2026-05-21,30,P006,Wireless Mouse,30
2026-05-21,31,P002,Laptop Backpack,60
2026-05-21,32,P003,Bluetooth Speaker,50
2026-05-21,33,P008,HDMI Cable,15
2026-05-21,34,P004,USB Flash Drive,20
2026-05-21,35,P009,Smartphone,600
2026-05-21,36,P001,Wireless Headphones,100
2026-05-21,37,P003,Bluetooth Speaker,50
2026-05-21,38,P006,Wireless Mouse,30
2026-05-21,39,P008,HDMI Cable,15
2026-05-21,40,P004,USB Flash Drive,20
2026-05-21,41,P009,Smartphone,600
2026-05-21,42,P008,HDMI Cable,15
2026-05-21,43,P006,Wireless Mouse,30
2026-05-21,44,P005,Mobile Phone Case,15
2026-05-21,45,P005,Mobile Phone Case,15
2026-05-21,46,P001,Wireless Headphones,100
2026-05-21,47,P002,Laptop Backpack,60
2026-05-21,48,P005,Mobile Phone Case,15
2026-05-21,49,P002,Laptop Backpack,60
2026-05-21,50,P009,Smartphone,600
2026-05-21,51,P002,Laptop Backpack,60
2026-05-21,52,P001,Wireless Headphones,100
2026-05-21,53,P006,Wireless Mouse,30
2026-05-21,54,P008,HDMI Cable,15
2026-05-21,55,P006,Wireless Mouse,30
2026-05-21,56,P010,External Hard Drive,100
2026-05-21,57,P002,Laptop Backpack,60
2026-05-21,58,P008,HDMI Cable,15
2026-05-21,59,P002,Laptop Backpack,60
2026-05-21,60,P001,Wireless Headphones,100
2026-05-21,61,P008,HDMI Cable,15
2026-05-21,62,P008,HDMI Cable,15
2026-05-21,63,P006,Wireless Mouse,30
2026-05-21,64,P006,Wireless Mouse,30
2026-05-21,65,P002,Laptop Backpack,60
2026-05-21,66,P004,USB Flash Drive,20
2026-05-21,67,P005,Mobile Phone Case,15
2026-05-21,68,P001,Wireless Headphones,100
2026-05-21,69,P010,External Hard Drive,100
2026-05-21,70,P001,Wireless Headphones,100
2026-05-21,71,P003,Bluetooth Speaker,50
2026-05-21,72,P001,Wireless Headphones,100
2026-05-21,73,P003,Bluetooth Speaker,50
2026-05-21,74,P010,External Hard Drive,100
2026-05-21,75,P008,HDMI Cable,15
2026-05-21,76,P004,USB Flash Drive,20
2026-05-21,77,P006,Wireless Mouse,30
2026-05-21,78,P005,Mobile Phone Case,15
2026-05-21,79,P001,Wireless Headphones,100
2026-05-21,80,P009,Smartphone,600
2026-05-21,81,P009,Smartphone,600
2026-05-21,82,P010,External Hard Drive,100
2026-05-21,83,P008,HDMI Cable,15
2026-05-21,84,P006,Wireless Mouse,30
2026-05-21,85,P004,USB Flash Drive,20
2026-05-21,86,P002,Laptop Backpack,60
2026-05-21,87,P001,Wireless Headphones,100
2026-05-21,88,P003,Bluetooth Speaker,50
2026-05-21,89,P003,Bluetooth Speaker,50
2026-05-21,90,P001,Wireless Headphones,100
2026-05-21,91,P004,USB Flash Drive,20
2026-05-21,92,P005,Mobile Phone Case,15
2026-05-21,93,P010,External Hard Drive,100
2026-05-21,94,P001,Wireless Headphones,100
2026-05-21,95,P006,Wireless Mouse,30
2026-05-21,96,P006,Wireless Mouse,30
2026-05-21,97,P002,Laptop Backpack,60
2026-05-21,98,P002,Laptop Backpack,60
2026-05-21,99,P010,External Hard Drive,100
2026-05-21,100,P004,USB Flash Drive,20
2026-05-21,101,P005,Mobile Phone Case,15
